search URL:,https://patents.google.com/?q=%28G21B+NOT+G21B3%252f00%29&before=priority:20091231&after=priority:20000101&clustered=true&dups=language&sort=old
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
KR-100689347-B1,Method and device for compressing a substance by impact and plasma cathode thereto ,엘티디 컴퍼니 ‘프로톤-21’,스타니슬라브바실리에비치 아다멘코,2002-08-14,2003-05-19,2007-03-02,2007-03-02,https://patents.google.com/patent/KR100689347B1/en,https://patentimages.storage.googleapis.com/11/45/43/36ac632856a898/112004046387208-pct00002.png
AU-2003232876-B2,Method and device for compressing a substance by impact and plasma cathode thereto ,"Ltd Company ""Proton-21""",Stanislav Vasilyevich Adamenko,2002-08-14,2003-05-19,2006-08-10,2006-08-10,https://patents.google.com/patent/AU2003232876B2/en,
AU-2003232876-A1,Method and device for compressing a substance by impact and plasma cathode thereto ,"Ltd Company ""Proton-21""",Stanislav Vasilyevich Adamenko,2002-08-14,2003-05-19,2004-03-03,,https://patents.google.com/patent/AU2003232876A1/en,
BR-0308818-A,Method and device for understanding shock and plasma cathode substances for such a device ,"Ltd Company Proton 21, Stanislav Vasilyevich Adamenko",Stanislav Vasilyevich Adamenko,2002-08-14,2003-05-19,2005-01-04,,https://patents.google.com/patent/BR0308818A/en,
KR-20050018655-A,Method and device for compressing a substance by impact and plasma cathode thereto ,엘티디 컴퍼니 ‘프로톤-21’,스타니슬라브바실리에비치 아다멘코,2002-08-14,2003-05-19,2005-02-23,,https://patents.google.com/patent/KR20050018655A/en,
BR-PI0308818-B1,method and device for compression of substance by shock and plasma cathode for such device ,"Ltd Company 'proton-21', Ltd Company Proton-21, Vasilyevich Adamenko Stanislav",Vasilyevich Adamenko Stanislav,2002-08-14,2003-05-19,2017-04-11,,https://patents.google.com/patent/BRPI0308818B1/en,
DE-60308640-D1,METHOD AND DEVICE FOR THE IMPACT COMPRESSION OF A FABRIC AND PLASMA CATHODE THEREFOR ,"Ltd Company Proton 21, Stanislav Vasilyevich Adamenko",Stanislav Vasilyevich Adamenko,2002-08-14,2003-05-19,2006-11-09,2006-11-09,https://patents.google.com/patent/DE60308640D1/en,
JP-2005530184-A,Method and apparatus for shock compression of material and plasma cathode thereof ,"プロトン２１ カンパニー リミテッド, ワシレヴィッチ アダメンコ，スタニスラフ",ワシレヴィッチ アダメンコ，スタニスラフ,2002-08-14,2003-05-19,2005-10-06,,https://patents.google.com/patent/JP2005530184A/en,https://patentimages.storage.googleapis.com/b9/fa/d7/044e058b1982a3/2005530184-6.png
WO-2004017685-A9,Method and device for compressing a substance by impact and plasma cathode thereto ,"Ltd Company Proton 21, Stanislav Vasilyevich Adamenko",Stanislav Vasilyevich Adamenko,2002-08-14,2003-05-19,2004-05-06,,https://patents.google.com/patent/WO2004017685A9/en,
WO-2004017685-A1,Method and device for compressing a substance by impact and plasma cathode thereto ,Ltd Company 'proton-21',Stanislav Vasilyevich Adamenko,2002-08-14,2003-05-19,2004-02-26,,https://patents.google.com/patent/WO2004017685A1/en,
ES-2272994-T3,PROCEDURE AND DEVICE FOR COMPRESSING A SUBSTANCE BY IMPACT AND PLASMA CATHODE FOR SUCH DEVICE. ,"LTD COMPANY &quot;PROTON-21&quot;, Stanislav Vasilyevich Adamenko",Stanislav Vasilyevich Adamenko,2002-08-14,2003-05-19,2007-05-01,2007-05-01,https://patents.google.com/patent/ES2272994T3/en,
AT-E341186-T1,METHOD AND DEVICE FOR IMPACT COMPRESSING A SUBSTANCE AND PLASMA CATHODE THEREFOR ,"Ltd Company Sproton 21S, Stanislav Vasilyevich Adamenko",Stanislav Vasilyevich Adamenko,2002-08-14,2003-05-19,2006-10-15,2006-10-15,https://patents.google.com/patent/ATE341186T1/en,
EP-1464210-A1,Method and device for compressing a substance by impact and plasma cathode thereto ,"LTD Company ""Proton-21"", Stanislav Vasilyevich Adamenko",Stanislav Vasilyevich Adamenko,2002-08-14,2003-05-19,2004-10-06,,https://patents.google.com/patent/EP1464210A1/en,
EP-1464210-B1,Method and device for compressing a substance by impact and plasma cathode therefor ,"LTD Company ""Proton-21"", Stanislav Vasilyevich Adamenko",Stanislav Vasilyevich Adamenko,2002-08-14,2003-05-19,2006-09-27,2006-09-27,https://patents.google.com/patent/EP1464210B1/en,https://patentimages.storage.googleapis.com/19/3a/86/835bed667b6526/imgf0001.png
US-7230201-B1,Apparatus and methods for controlling charged particles ,Npl Associates,"George Miley, Hiromu Momota",2000-02-25,2003-06-24,2007-06-12,2007-06-12,https://patents.google.com/patent/US7230201B1/en,https://patentimages.storage.googleapis.com/17/6d/5c/8d489a35b12a42/US07230201-20070612-D00000.png
EP-1382403-B1,Method for forming a tube-walled article ,"Pratt & Whitney Rocketdyne, Inc.",Mark David Horn,2002-07-17,2003-07-02,2006-09-06,2006-09-06,https://patents.google.com/patent/EP1382403B1/en,https://patentimages.storage.googleapis.com/97/d5/13/faa65d8e9166be/imgf0001.png
EP-1382403-A1,Method for forming a tube-walled article ,The Boeing Company,Mark David Horn,2002-07-17,2003-07-02,2004-01-21,,https://patents.google.com/patent/EP1382403A1/en,https://patentimages.storage.googleapis.com/19/6f/57/ad0ad55e3738aa/00150001.png
IL-157159-A,Magnetic and electrostatic confinement of plasma in a field reversed configuration ,"Norman Rostoker, Univ California, Michl Binderbauer, Artan Qerushi, Hossang Tahsiri, Eusebio Garate, Vitaly Bystritskii","Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hossang Tahsiri, Eusebio Garate, Vitaly Bystritskii",2001-02-01,2003-07-29,2010-11-30,,https://patents.google.com/patent/IL157159A/en,
IL-157157-A,Controlled fusion in a field reversed configuration and direct energy conversion ,"Univ Florida, Norman Rostoker, Hendrik J Monkhorst, Univ California","Norman Rostoker, Hendrik J Monkhorst",2001-03-19,2003-07-29,2007-12-03,,https://patents.google.com/patent/IL157157A/en,
US-2004040737-A1,Superconducting coil system ,Japan Atomic Energy Research Institute,"Mitsuru Kikuchi, Toshinari Ando",2002-08-30,2003-07-30,2004-03-04,,https://patents.google.com/patent/US20040040737A1/en,https://patentimages.storage.googleapis.com/99/2d/c6/7469ea8bd0a776/US20040040737A1-20040304-D00000.png
US-7075396-B2,Superconducting coil system ,Japan Atomic Energy Research Institute,"Mitsuru Kikuchi, Toshinari Ando",2002-08-30,2003-07-30,2006-07-11,2006-07-11,https://patents.google.com/patent/US7075396B2/en,https://patentimages.storage.googleapis.com/d5/17/2c/60d0a6cb5cdb95/US07075396-20060711-D00000.png
FR-2845080-B1,"PROCESS FOR PRODUCING FERTILIZED TRITIUM MATERIAL, AND FERTILIZED TRITIUM MATERIAL OBTAINED ","Ngk Insulators Ltd, Japan Atomic Energy Res Inst","Hiroshi Kawamura, Kunihiko Tsuchiya, Munenori Uchida, Naoki Sakamoto, Kohichi Yamada",2002-08-27,2003-08-27,2010-07-30,2010-07-30,https://patents.google.com/patent/FR2845080B1/en,
FR-2845080-A1,Tritium-generating fertile material useful in breeder blankets in nuclear fusion reactors comprises lithium titanate doped with an oxide ,"Ngk Insulators Ltd, Japan Atomic Energy Res Inst","Hiroshi Kawamura, Kunihiko Tsuchiya, Munenori Uchida, Naoki Sakamoto, Kohichi Yamada",2002-08-27,2003-08-27,2004-04-02,,https://patents.google.com/patent/FR2845080A1/en,
FR-2859202-B1,"HYDROGEN TRAP COMPOUND, METHOD OF MANUFACTURE AND USES ","Commissariat Energie Atomique, Cogema","Sylvie Camaro, Quentin Ragetly, Martial Chantal Riglet",2003-08-29,2003-08-29,2005-10-14,2005-10-14,https://patents.google.com/patent/FR2859202B1/en,
FR-2859202-A1,"HYDROGEN TRAP COMPOUND, METHOD OF MANUFACTURE AND USES ","Commissariat Energie Atomique, Cogema","Sylvie Camaro, Quentin Ragetly, Martial Chantal Riglet",2003-08-29,2003-08-29,2005-03-04,,https://patents.google.com/patent/FR2859202A1/en,
WO-2004023853-A1,Method and equipment for generating a gas plasma ball ,Seppo Konkola,Seppo Konkola,2002-09-05,2003-09-05,2004-03-18,,https://patents.google.com/patent/WO2004023853A1/en,
EP-1576863-A1,Method and equipment for generating a gas plasma ball ,"KONKOLA, Seppo Taneli",Seppo Taneli Konkola,2002-09-05,2003-09-05,2005-09-21,,https://patents.google.com/patent/EP1576863A1/en,
AU-2003262591-A1,Method and equipment for generating a gas plasma ball ,Seppo Konkola,Seppo Konkola,2002-09-05,2003-09-05,2004-03-29,,https://patents.google.com/patent/AU2003262591A1/en,
CA-2537935-A1,Method and equipment for generating a gas plasma ball ,Seppo Konkola,Seppo Konkola,2002-09-05,2003-09-05,2004-03-18,,https://patents.google.com/patent/CA2537935A1/en,
US-2004233027-A1,Apparatus for manipulating magnetic fields ,Oster Eugene L.,Eugene Oster,2002-09-09,2003-09-09,2004-11-25,,https://patents.google.com/patent/US20040233027A1/en,https://patentimages.storage.googleapis.com/01/0c/6e/d0d754765a0094/US20040233027A1-20041125-D00000.png
US-6937127-B2,Apparatus for manipulating magnetic fields ,"Oster Magnetics, Inc.",Eugene L. Oster,2002-09-09,2003-09-09,2005-08-30,2005-08-30,https://patents.google.com/patent/US6937127B2/en,https://patentimages.storage.googleapis.com/af/81/7a/76a17e315019e1/US06937127-20050830-D00000.png
WO-2004022238-A2,Apparatus for manipulating magnetic fields ,"Oster Magnetics, Inc.",Eugene L. Oster,2002-09-09,2003-09-09,2004-03-18,,https://patents.google.com/patent/WO2004022238A2/en,
AU-2003270496-A8,Apparatus for manipulating magnetic fields ,Oster Magnetics Inc,Eugene L Oster,2002-09-09,2003-09-09,2004-03-29,,https://patents.google.com/patent/AU2003270496A8/en,
AU-2003270496-A1,Apparatus for manipulating magnetic fields ,"Oster Magnetics, Inc.",Eugene L. Oster,2002-09-09,2003-09-09,2004-03-29,,https://patents.google.com/patent/AU2003270496A1/en,
WO-2004022238-A3,Apparatus for manipulating magnetic fields ,"Oster Magnetics Inc, Eugene L Oster",Eugene L Oster,2002-09-09,2003-09-09,2004-05-13,,https://patents.google.com/patent/WO2004022238A3/en,
US-2005084054-A1,Coulomb force neutralized fusion reactor ,Franz Dennis L.,Dennis Franz,2003-09-18,2003-09-18,2005-04-21,,https://patents.google.com/patent/US20050084054A1/en,https://patentimages.storage.googleapis.com/b0/01/12/54a9669b62de8d/US20050084054A1-20050421-D00000.png
ZA-200308084-B,Controlled fusion in a field reversed configuration and direct energy conversion ,"Regents Of The Univ Of California (The), Univ Florida","Rostoker Norman, J Monkhorst Hendrik",2001-03-19,2003-10-17,2005-03-30,,https://patents.google.com/patent/ZA200308084B/en,
AU-2003291273-A1,Charged particles trap ,Massachusetts Institute Of Technology,Carl C. Dietrich,2002-11-06,2003-11-03,2004-06-03,,https://patents.google.com/patent/AU2003291273A1/en,
WO-2004044926-A1,Charged particles trap ,Massachusetts Institute Of Technology,Carl C. Dietrich,2002-11-06,2003-11-03,2004-05-27,,https://patents.google.com/patent/WO2004044926A1/en,
KR-20050049026-A,The fusion of hydrogen use iron that magnetic field and electric filed passage ,"이성호, 김기성","이성호, 김기성",2003-11-20,2003-11-20,2005-05-25,,https://patents.google.com/patent/KR20050049026A/en,
US-2004137289-A1,Fuel cells that operate on nuclear reactions produced using rapid temperature changes ,Ping-Wha Lin,Ping-Wha Lin,2002-09-26,2003-11-26,2004-07-15,,https://patents.google.com/patent/US20040137289A1/en,https://patentimages.storage.googleapis.com/e4/40/53/4b59623a06ff5c/US20040137289A1-20040715-D00000.png
GB-2409100-A,Atomic transformation promoter ,Mark James Bridger,Mark James Bridger,2003-12-09,2003-12-09,2005-06-15,,https://patents.google.com/patent/GB2409100A/en,
GB-0328486-D0,Atomic transformation promoter ,Bridger Mark J,,2003-12-09,2003-12-09,2004-01-14,,https://patents.google.com/patent/GB0328486D0/en,
AT-E343920-T1,DEVICE FOR INJECTING A PULSE SUPERSONIC GAS FLOW ,Commissariat Energie Atomique,Gilles Martin,2003-01-28,2004-01-26,2006-11-15,2006-11-15,https://patents.google.com/patent/ATE343920T1/en,
EP-1588591-A1,Device for injection of a pulsed supersonic gas stream ,Commissariat A L'energie Atomique,Gilles Martin,2003-01-28,2004-01-26,2005-10-26,,https://patents.google.com/patent/EP1588591A1/en,
US-7093774-B2,Device for injecting a pulsed supersonic gas stream ,Commissariat A L'energie Atomique,Gilles Martin,2003-01-28,2004-01-26,2006-08-22,2006-08-22,https://patents.google.com/patent/US7093774B2/en,https://patentimages.storage.googleapis.com/8c/79/bc/d3a7721a4edcdd/US07093774-20060822-D00000.png
US-2006086822-A1,Device for injection a pulsed supersonic gas stream ,Gilles Martin,Gilles Martin,2003-01-28,2004-01-26,2006-04-27,,https://patents.google.com/patent/US20060086822A1/en,https://patentimages.storage.googleapis.com/70/75/05/1b095e40043cf3/US20060086822A1-20060427-D00000.png
JP-2006518038-A,Apparatus for injecting pulsed supersonic gas flux ,コミツサリア  タ  レネルジー  アトミーク,マルタン，ギル,2003-01-28,2004-01-26,2006-08-03,,https://patents.google.com/patent/JP2006518038A/en,https://patentimages.storage.googleapis.com/df/fc/c9/7f7b5d66cc3f8a/2006518038-3.png
DE-602004002932-D1,DEVICE FOR INJECTING A PULSED TRANSITION GAS FLOW ,Commissariat Energie Atomique,Gilles Martin,2003-01-28,2004-01-26,2006-12-07,,https://patents.google.com/patent/DE602004002932D1/en,
WO-2004071138-A1,Device for injection of a pulsed supersonic gas stream ,Commissariat A L'energie Atomique,Gilles Martin,2003-01-28,2004-01-26,2004-08-19,,https://patents.google.com/patent/WO2004071138A1/en,
KR-20050105186-A,Device for injection of a pulsed supersonic gas stream ,꼼미사리아 아 레네르지 아토미끄,질르 마르땡,2003-01-28,2004-01-26,2005-11-03,,https://patents.google.com/patent/KR20050105186A/en,
CN-100352315-C,Device for injection of a pulsed supersonic gas stream ,原子能委员会,吉勒·马丁,2003-01-28,2004-01-26,2007-11-28,2007-11-28,https://patents.google.com/patent/CN100352315C/en,https://patentimages.storage.googleapis.com/32/e6/04/dafe182a9fa765/C20048000295700191.png
DE-602004002932-T2,DEVICE FOR INJECTING A PULSED TRANSITION GAS FLOW ,Commissariat à l'Energie Atomique,Gilles Martin,2003-01-28,2004-01-26,2007-06-14,2007-06-14,https://patents.google.com/patent/DE602004002932T2/en,
CN-1742521-A,Device for injection of a pulsed supersonic gas stream ,原子能委员会,吉勒·马丁,2003-01-28,2004-01-26,2006-03-01,,https://patents.google.com/patent/CN1742521A/en,https://patentimages.storage.googleapis.com/7a/c4/8b/e6ea254b867b06/A20048000295700181.png
EP-1588591-B1,Device for injection of a pulsed supersonic gas stream ,Commissariat A L'energie Atomique,Gilles Martin,2003-01-28,2004-01-26,2006-10-25,2006-10-25,https://patents.google.com/patent/EP1588591B1/en,https://patentimages.storage.googleapis.com/0b/4f/30/7900b7c6c15b25/imgf0001.png
ES-2274420-T3,INJECTION DEVICE OF A PULSED SUPERSONIC GAS FLOW. ,Commissariat A L'energie Atomique,Gilles Martin,2003-01-28,2004-01-26,2007-05-16,2007-05-16,https://patents.google.com/patent/ES2274420T3/en,
US-2005179394-A1,Formation of a field reversed configuration for magnetic and electrostatic confinement of plasma ,Regents Of The University Of California,"Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri",2001-02-01,2004-03-11,2005-08-18,,https://patents.google.com/patent/US20050179394A1/en,https://patentimages.storage.googleapis.com/b8/ba/2a/4bf359c9ff519a/US20050179394A1-20050818-D00000.png
US-6995515-B2,Formation of a field reversed configuration for magnetic and electrostatic confinement of plasma ,The Regents Of The University Of California,"Norman Rostoker, Michl Binderbauer, Artan Qerushi, Hooshang Tahsiri",2001-02-01,2004-03-11,2006-02-07,2006-02-07,https://patents.google.com/patent/US6995515B2/en,https://patentimages.storage.googleapis.com/89/70/8e/98b51d51ef97e9/US06995515-20060207-D00000.png
DE-102004013321-A1,Torus arrangement for nuclear fusion reactors for producing stationary magnetic field comprises core cylinder and torus casing made from different thermoelectric materials ,"Westerfeld, Peter, Dipl.-Ing.",Peter Westerfeld,2003-03-20,2004-03-17,2004-09-30,,https://patents.google.com/patent/DE102004013321A1/en,
CA-2518486-A1,Systems and methods for plasma containment ,"Utah State University, W. Farrell Edwards, Eric Held","W. Farrell Edwards, Eric Held",2003-03-21,2004-03-19,2004-10-07,,https://patents.google.com/patent/CA2518486A1/en,
WO-2004086440-A3,Systems and methods for plasma containment ,"Univ Utah State, W Farrell Edwards, Eric Held","W Farrell Edwards, Eric Held",2003-03-21,2004-03-19,2007-02-08,,https://patents.google.com/patent/WO2004086440A3/en,
EP-1623481-A4,Systems and methods for plasma containment ,Univ Utah State,"W Farrell Edwards, Eric Held",2003-03-21,2004-03-19,2009-08-19,,https://patents.google.com/patent/EP1623481A4/en,
AU-2004222932-B2,Systems and methods for plasma containment ,Utah State University,"W. Farrell Edwards, Eric Held",2003-03-21,2004-03-19,2011-04-28,2011-04-28,https://patents.google.com/patent/AU2004222932B2/en,
WO-2004086440-A2,Systems and methods for plasma containment ,Utah State University,"W. Farrell Edwards, Eric Held",2003-03-21,2004-03-19,2004-10-07,,https://patents.google.com/patent/WO2004086440A2/en,
AU-2004222932-A1,Systems and methods for plasma containment ,Utah State University,"W. Farrell Edwards, Eric Held",2003-03-21,2004-03-19,2004-10-07,,https://patents.google.com/patent/AU2004222932A1/en,
JP-2007524957-A,System and method for plasma confinement ,ユタ州立大学,"エドワーズ，ダブリュー．，ファレル, ヘルド，エリック",2003-03-21,2004-03-19,2007-08-30,,https://patents.google.com/patent/JP2007524957A/en,https://patentimages.storage.googleapis.com/21/8f/c5/aa04128d770120/2007524957-18.png
CN-1973338-A,Systems and methods for plasma containment ,犹他州立大学,"W·法瑞尔·爱德华斯, 艾瑞克·赫尔德",2003-03-21,2004-03-19,2007-05-30,,https://patents.google.com/patent/CN1973338A/en,https://patentimages.storage.googleapis.com/b9/79/59/5872c84b802ca9/A20048000988000361.png
EP-1623481-A2,Systems and methods for plasma containment ,Utah State University,"W. Farrell Edwards, Eric Held",2003-03-21,2004-03-19,2006-02-08,,https://patents.google.com/patent/EP1623481A2/en,
MX-PA05010074-A,Systems and methods for plasma containment. ,Univ Utah State,Eric Held,2003-03-21,2004-03-19,2006-05-17,,https://patents.google.com/patent/MXPA05010074A/en,
KR-20050121695-A,Systems and methods for plasma containment ,유타 스테이트 유니버시티,"화랠 에드워즈. 더블류., 에릭 핼드",2003-03-21,2004-03-19,2005-12-27,,https://patents.google.com/patent/KR20050121695A/en,
BR-PI0409045-A,"two-way plasma containment apparatus, plasma camera, method for designing a plasma confinement device, plasma fusion device, x-ray generator and plasma containment apparatus ",Univ Utah State,"Farrell W Edwards, Erich Held",2003-03-21,2004-03-19,2006-03-28,,https://patents.google.com/patent/BRPI0409045A/en,
KR-20040086198-A,Laminated component for fusion reactors ,플란제 악틴게젤샤프트,"베어트람 쉐틀러, 칼하인츠 샤이버, 토마스 프리드리히, 토마스 그란체르, 디트마 쉐들레, 안톤 짜버니히, 토마스 후버, 한스-디터 프리들레",2003-04-02,2004-03-27,2004-10-08,,https://patents.google.com/patent/KR20040086198A/en,
KR-101105065-B1,Laminated component for fusion reactors ,플란제 에스이,"베어트람 쉐틀러, 칼하인츠 샤이버, 토마스 프리드리히, 토마스 그란체르, 디트마 쉐들레, 안톤 짜버니히, 토마스 후버, 한스-디터 프리들레",2003-04-02,2004-03-27,2012-01-13,2012-01-13,https://patents.google.com/patent/KR101105065B1/en,https://patentimages.storage.googleapis.com/61/f4/86/5466a4f71251d7/112004012708635-pat00001.png
EP-1465205-B1,Joining piece for fusion reactor ,Plansee Se,"Bertram Schedler, Dietmar Schedle, Thomas Granzer, Anton Zabernig, Thomas Huber, Thomas Friedrich, Karlheinz Schreiber, Hans-Dieter Friedle",2003-04-02,2004-03-30,2008-07-09,2008-07-09,https://patents.google.com/patent/EP1465205B1/en,https://patentimages.storage.googleapis.com/b1/f3/c1/9922bbc2db0a8a/imgf0001.png
DE-502004007529-D1,Composite component for fusion reactor ,Plansee Se,"Bertram Schedler, Dietmar Schedle, Thomas Granzer, Anton Zabernig, Thomas Huber, Thomas Friedrich, Karlheinz Schreiber, Hans-Dieter Friedle",2003-04-02,2004-03-30,2008-08-21,,https://patents.google.com/patent/DE502004007529D1/en,
EP-1465205-A3,Joining piece for fusion reactor ,Plansee Se,"Bertram Schedler, Dietmar Schedle, Thomas Granzer, Anton Zabernig, Thomas Huber, Thomas Friedrich, Karlheinz Schreiber, Hans-Dieter Friedle",2003-04-02,2004-03-30,2007-01-17,,https://patents.google.com/patent/EP1465205A3/en,
US-7128980-B2,Composite component for fusion reactors ,Plansee Se,"Bertram Schedler, Thomas Granzer, Thomas Huber, Karlheinz Scheiber, Dietmar Schedle, Hans-Dieter Friedle, Thomas Friedrich, Anton Zabernig",2003-04-02,2004-03-30,2006-10-31,2006-10-31,https://patents.google.com/patent/US7128980B2/en,https://patentimages.storage.googleapis.com/b2/a3/8d/9b5813407171e6/US07128980-20061031-D00000.png
EP-1465205-A2,Joining piece for fusion reactor ,PLANSEE Aktiengesellschaft,"Bertram Schedler, Dietmar Schedle, Thomas Granzer, Anton Zabernig, Thomas Huber, Thomas Friedrich, Karlheinz Schreiber, Hans-Dieter Friedle",2003-04-02,2004-03-30,2004-10-06,,https://patents.google.com/patent/EP1465205A2/en,https://patentimages.storage.googleapis.com/c9/8e/38/957c0e4e3d71a7/00150001.png
AT-E400876-T1,COMPOSITE COMPONENT FOR FUSION REACTOR ,Plansee Se,"Bertram Schedler, Dietmar Schedle, Thomas Granzer, Anton Zabernig, Thomas Huber, Thomas Friedrich, Karlheinz Schreiber, Hans-Dieter Friedle",2003-04-02,2004-03-30,2008-07-15,2008-07-15,https://patents.google.com/patent/ATE400876T1/en,
PL-1465205-T3,Joining piece for fusion reactor ,Plansee Se,"Bertram Schedler, Dietmar Schedle, Thomas Granzer, Anton Zabernig, Thomas Huber, Thomas Friedrich, Karlheinz Schreiber, Hans-Dieter Friedle",2003-04-02,2004-03-30,2008-11-28,,https://patents.google.com/patent/PL1465205T3/en,
US-2004195296-A1,Composite component for fusion reactors ,"Bertram Schedler, Thomas Granzer, Thomas Huber, Karlheinz Scheiber, Dietmar Schedle, Hans-Dieter Friedle, Thomas Friedrich, Anton Zabernig","Bertram Schedler, Thomas Granzer, Thomas Huber, Karlheinz Scheiber, Dietmar Schedle, Hans-Dieter Friedle, Thomas Friedrich, Anton Zabernig",2003-04-02,2004-03-30,2004-10-07,,https://patents.google.com/patent/US20040195296A1/en,https://patentimages.storage.googleapis.com/ae/c9/58/42d9af4f3e00d3/US20040195296A1-20041007-D00000.png
CA-2462491-A1,Laminated component for fusion reactors ,"Plansee Aktiengesellschaft, Bertram Schedler, Thomas Granzer, Thomas Huber, Karlheinz Scheiber, Dietmar Schedle, Hans-Dieter Friedle, Thomas Friedrich, Anton Zabernig, Plansee Se","Bertram Schedler, Thomas Granzer, Thomas Huber, Karlheinz Scheiber, Dietmar Schedle, Hans-Dieter Friedle, Thomas Friedrich, Anton Zabernig",2003-04-02,2004-03-30,2004-10-02,,https://patents.google.com/patent/CA2462491A1/en,
CA-2462491-C,Laminated component for fusion reactors ,"Plansee Aktiengesellschaft, Bertram Schedler, Thomas Granzer, Thomas Huber, Karlheinz Scheiber, Dietmar Schedle, Hans-Dieter Friedle, Thomas Friedrich, Anton Zabernig, Plansee Se","Bertram Schedler, Thomas Granzer, Thomas Huber, Karlheinz Scheiber, Dietmar Schedle, Hans-Dieter Friedle, Thomas Friedrich, Anton Zabernig",2003-04-02,2004-03-30,2012-01-03,2012-01-03,https://patents.google.com/patent/CA2462491C/en,
JP-2004309485-A,Composite structure member for nuclear fusion reactor ,"Plansee Ag, プランゼー  アクチエンゲゼルシヤフト","Bertram Schedler, シェトラー ベルトラム, Thomas Granzer, グランツァー トーマス, Thomas Huber, フーバー トーマス, Karlheinz Scheiber, シャイバー カールハインツ, Dietmar Schedle, シェトレ ディートマール, Hans-Dieter Friedle, フリードレ ハンスーディーター, Thomas Dr Friedrich, フリードリッヒ トーマス, Anton Zabernig, ツァバーニッヒ アントン",2003-04-02,2004-04-02,2004-11-04,,https://patents.google.com/patent/JP2004309485A/en,https://patentimages.storage.googleapis.com/34/2e/87/0a978ea29893ae/2004309485-3.png
JP-4540381-B2,Composite structural member for fusion reactor and method of manufacturing the same ,プランゼー  エスエー,"シェトラー ベルトラム, グランツァー トーマス, フーバー トーマス, シャイバー カールハインツ, シェトレ ディートマール, フリードレ ハンスーディーター, フリードリッヒ トーマス, ツァバーニッヒ アントン",2003-04-02,2004-04-02,2010-09-08,2010-09-08,https://patents.google.com/patent/JP4540381B2/en,https://patentimages.storage.googleapis.com/72/50/70/5aedb1f99c8d57/0004540381-2.png
CN-100524540-C,Lameller component of fusion reactor ,菩兰茜欧洲公司,"B·舍德勒, Th·格兰策, Th·胡贝尔, K·沙伊贝尔, D·舍德尔, H-D·费里德勒, Th·费里德里克, A·察贝尼格",2003-04-02,2004-04-02,2009-08-05,2009-08-05,https://patents.google.com/patent/CN100524540C/en,https://patentimages.storage.googleapis.com/78/26/6d/9525613ca694f1/C200410030665E00122.png
CN-1538462-A,Lameller component of fusion reactor ,"�����ɷ�, 菩兰茜股份公司","B, B·舍德勒,  , Th·格兰策, Th·胡贝尔, K·沙伊贝尔, ¶, D·舍德尔, H-D·费里德勒, Th·费里德里克, A·察贝尼格",2003-04-02,2004-04-02,2004-10-20,,https://patents.google.com/patent/CN1538462A/en,https://patentimages.storage.googleapis.com/bd/e0/ec/3fbc5f07048c3c/A20041003066500122.png
US-2005271181-A1,Apparatus and method for ignition of high-gain thermonuclear microexplosions with electric-pulse power ,Board Of Regents Of The University And Community College System Of Nevada,Friedwardt Winterberg,2003-04-24,2004-04-22,2005-12-08,,https://patents.google.com/patent/US20050271181A1/en,https://patentimages.storage.googleapis.com/fb/24/59/28284341a77a1e/US20050271181A1-20051208-D00000.png
WO-2004097843-A2,Apparatus and method for ignition of high-gain thermonuclear microexplosions with electric-pulse power ,Board Of Regents Of The University And Community College System Of Nevada,Friedwardt M. Winterberg,2003-04-24,2004-04-23,2004-11-11,,https://patents.google.com/patent/WO2004097843A2/en,
CA-2523057-A1,Apparatus and method for ignition of high-gain thermonuclear microexplosions with electric-pulse power ,"Board Of Regents Of The University And Community College System Of Nevad A, Friedwardt M. Winterberg",Friedwardt M. Winterberg,2003-04-24,2004-04-23,2004-11-11,,https://patents.google.com/patent/CA2523057A1/en,
WO-2004097843-A3,Apparatus and method for ignition of high-gain thermonuclear microexplosions with electric-pulse power ,"Univ Community College Sys Nev, Friedwardt M Winterberg",Friedwardt M Winterberg,2003-04-24,2004-04-23,2006-12-28,,https://patents.google.com/patent/WO2004097843A3/en,
US-2005254613-A1,Fusion energy system and plasma propulsion aircraft to produce electricity from a controlled nuclear fusion reaction ,Gochnour Gary R,Gary Gochnour,2004-05-06,2004-05-06,2005-11-17,,https://patents.google.com/patent/US20050254613A1/en,https://patentimages.storage.googleapis.com/e6/d9/e6/6b83bbc5c1f9df/US20050254613A1-20051117-D00000.png
US-2004251996-A1,Nuclear fusion reactor incorporating spherical electromagnetic fields to contain and extract energy ,Nordberg John T.,John Nordberg,2000-08-25,2004-05-06,2004-12-16,,https://patents.google.com/patent/US20040251996A1/en,https://patentimages.storage.googleapis.com/c6/31/d1/a3eb67de11e86f/US20040251996A1-20041216-D00000.png
US-6888434-B2,Nuclear fusion reactor incorporating spherical electromagnetic fields to contain and extract energy ,John T. Nordberg,John T. Nordberg,2000-08-25,2004-05-06,2005-05-03,2005-05-03,https://patents.google.com/patent/US6888434B2/en,https://patentimages.storage.googleapis.com/4a/1d/94/64f42358986982/US06888434-20050503-D00000.png
