patent_code,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-0047713-A2,"Inert gas thermonuclear fuel, fuel preparation apparatus and system for extracting useful work from the fuel ",Papp International Incorporated,Joseph Papp,1980-09-04,1981-09-02,1982-03-17,,https://patents.google.com/patent/EP0047713A2/en,https://patentimages.storage.googleapis.com/5f/ab/15/baabfc7606717f/imgf0001.png
US-4496518-A,TMO and TEO cavity resonator for projecting plasma confining TEO mode components ,Marie G R P,Georges R. P. Marie,1980-02-27,1981-09-08,1985-01-29,1985-01-29,https://patents.google.com/patent/US4496518A/en,https://patentimages.storage.googleapis.com/6c/b0/11/ac4973c18510f5/US4496518-drawings-page-2.png
GB-2092361-A,Inertial confinement fusion method producing line source radiation fluence ,Westinghouse Electric Corp,,1981-01-29,1981-09-09,1982-08-11,,https://patents.google.com/patent/GB2092361A/en,
GB-2092361-B,Inertial confinement fusion method producing line source radiation fluence ,Westinghouse Electric Corp,,1981-01-29,1981-09-09,1984-11-28,1984-11-28,https://patents.google.com/patent/GB2092361B/en,
FR-2498799-A1,INERTIA CONFINED PLASMA FUSION PROCESS PRODUCING LINEAR SOURCE RADIATION FLUENCE ,Westinghouse Electric Corp,Ronald Palmer Rose,1981-01-29,1981-09-28,1982-07-30,,https://patents.google.com/patent/FR2498799A1/en,
DE-3138693-A1,"""THERMONUCLEAR FUSION REACTOR"" ","Westinghouse Electric Corp., 15222 Pittsburgh, Pa.",Ronald P. McMurray Pa. Rose,1981-01-29,1981-09-29,1982-10-21,,https://patents.google.com/patent/DE3138693A1/en,
JP-S57125878-A,Thermonuclear fusion reactor ,Westinghouse Electric Corp,Parumaa Roozu Ronarudo,1981-01-29,1981-09-29,1982-08-05,,https://patents.google.com/patent/JPS57125878A/en,
JP-S5855879-A,Divertor module transporting device ,株式会社日立製作所,太郎 岩本,1981-09-30,1981-09-30,1983-04-02,,https://patents.google.com/patent/JPS5855879A/en,
US-4735763-A,Fusion power monitor ,The Babcock & Wilcox Company,"William G. Pettus, Holland D. Warren",1981-10-13,1981-10-13,1988-04-05,1988-04-05,https://patents.google.com/patent/US4735763A/en,https://patentimages.storage.googleapis.com/0a/8b/b4/981f1f38d335f0/US4735763-drawings-page-2.png
DE-3144367-A1,Fusion reactor ,Werner 2800 Bremen Knorre,Werner 2800 Bremen Knorre,1981-11-07,1981-11-07,1983-05-19,,https://patents.google.com/patent/DE3144367A1/en,
US-4386950-A,Method and apparatus for producing solid hydrogen ,Carnegie Institution Of Washingtion,"Peter M. Bell, Ho-Kwang Mao",1980-02-29,1981-11-12,1983-06-07,1983-06-07,https://patents.google.com/patent/US4386950A/en,https://patentimages.storage.googleapis.com/7a/81/b0/2859baf1fefab2/US4386950-drawings-page-2.png
DE-3145729-A1,Quantal energy ,Jürgen 6228 Eltville Blum,Jürgen 6228 Eltville Blum,1981-11-19,1981-11-19,1983-05-26,,https://patents.google.com/patent/DE3145729A1/en,
DE-3146572-A1,MECHANICAL ACCELERATION OF MACROSCOPIC PARTICLES ,"Max Planck Gesellschaft zur Förderung der Wissenschaften e.V., 3400 Göttingen","Waldemar Ing. Amenda (grad.), 8046 Garching, Rudolf Dr. Dipl.-Phys. 8300 Landshut Lang",1981-11-24,1981-11-24,1983-06-01,,https://patents.google.com/patent/DE3146572A1/en,
DE-3146572-C2,Patent DE3146572C2 ,"Max-Planck-Gesellschaft Zur Foerderung Der Wissenschaften Ev, 3400 Goettingen, De","Waldemar Ing.(Grad.) 8046 Garching De Amenda, Rudolf Dipl.-Phys. Dr. 8300 Landshut De Lang",1981-11-24,1981-11-24,1987-12-03,1987-12-03,https://patents.google.com/patent/DE3146572C2/en,
US-4446096-A,High speed plasma focus fusion reactor ,Auchterlonie Richard C,Richard C. Auchterlonie,1981-11-27,1981-11-27,1984-05-01,1984-05-01,https://patents.google.com/patent/US4446096A/en,https://patentimages.storage.googleapis.com/da/7d/de/ab1e2cf822f9b6/US4446096-drawings-page-2.png
GB-2098382-B,Packed fluidized bed blanket for fusion reactor ,Westinghouse Electric Corp,,1981-05-12,1981-12-22,1985-06-05,1985-06-05,https://patents.google.com/patent/GB2098382B/en,
GB-2098382-A,Packed fluidized bed blanket for fusion reactor ,Westinghouse Electric Corp,,1981-05-12,1981-12-22,1982-11-17,,https://patents.google.com/patent/GB2098382A/en,
JP-S58110872-A,Vacuum exhauster ,"Hitachi Ltd, 株式会社日立製作所","Shoji Isobe, 磯部　昭二",1981-12-23,1981-12-23,1983-07-01,,https://patents.google.com/patent/JPS58110872A/en,
CA-1188825-A,Packed fluidized bed blanket for fusion reactor ,"John W.H. Chi, Westinghouse Electric Corporation",John W.H. Chi,1981-05-12,1982-01-07,1985-06-11,1985-06-11,https://patents.google.com/patent/CA1188825A/en,
FR-2506060-A1,FERTILE LAYER IN FLUIDIZED BED CUP FOR FUSION REACTOR ,Westinghouse Electric Corp,John Wen Hua Chi,1981-05-12,1982-01-11,1982-11-19,,https://patents.google.com/patent/FR2506060A1/en,
DE-3200512-A1,BROZONE ZONE FOR A CORE REACTOR ,"Westinghouse Electric Corp., 15222 Pittsburgh, Pa.",John W.H. Pittsburgh Pa. Chi,1981-05-12,1982-01-11,1982-12-09,,https://patents.google.com/patent/DE3200512A1/en,
JP-S57187686-A,Blanket for nuclear reactor ,Westinghouse Electric Corp,Uen Fua Chii Jiyon,1981-05-12,1982-01-11,1982-11-18,,https://patents.google.com/patent/JPS57187686A/en,
IT-8241501-A0,SPACED FLUIDIFIED BED SHELL FOR FUSION REACTORS. ,Westinghouse Electric Corp,John W H Chi,1981-05-12,1982-01-11,1982-01-11,,https://patents.google.com/patent/IT8241501A0/en,
IT-1159751-B,FLUIDIFIED BED CAPE STIPATED FOR FUSION REACTORS ,Westinghouse Electric Corp,John W H Chi,1981-05-12,1982-01-11,1987-03-04,1987-03-04,https://patents.google.com/patent/IT1159751B/en,
US-4405595-A,Method of producing spherical lithium aluminate particles ,Ga Technologies Inc.,"Ling Yang, Russell R. Medico, Wesley A. Baugh",1982-01-15,1982-01-15,1983-09-20,1983-09-20,https://patents.google.com/patent/US4405595A/en,
US-4455277-A,Electron beam magnetic switch for a plurality of free electron lasers ,The United States Of America As Represented By The United States Department Of Energy,Leland G. Schlitt,1982-01-26,1982-01-26,1984-06-19,1984-06-19,https://patents.google.com/patent/US4455277A/en,https://patentimages.storage.googleapis.com/53/ac/6b/c66688f345ffb7/US4455277-drawings-page-2.png
GB-2094748-A,Forming metal microspheres ,Torobin Leonard B,,1981-03-18,1982-03-05,1982-09-22,,https://patents.google.com/patent/GB2094748A/en,
GB-2094748-B,Forming metal microspheres ,Torobin Leonard B,,1981-03-18,1982-03-05,1985-09-04,1985-09-04,https://patents.google.com/patent/GB2094748B/en,
ZA-821630-B,Method and apparatus for producing hollow metal microspheres and microspheroids ,Leonard B Torobin,Leonard B Torobin,1981-03-18,1982-03-11,1983-03-30,,https://patents.google.com/patent/ZA821630B/en,
DE-3237437-T1,METHOD AND DEVICE FOR PRODUCING MICROHOLE BEADS ,Leonard B. 33577 Sarasota Fla. Torobin,Leonard B. 33577 Sarasota Fla. Torobin,1981-03-18,1982-03-12,1983-09-22,,https://patents.google.com/patent/DE3237437T1/en,
EP-0074395-A1,Method for producing hollow metal microspheres and microspheroids ,"TOROBIN, Leonard B.",Leonard B. Torobin,1981-03-18,1982-03-12,1983-03-23,,https://patents.google.com/patent/EP0074395A1/en,
EP-0074395-A4,Method for producing hollow metal microspheres and microspheroids. ,Leonard B Torobin,Leonard B Torobin,1981-03-18,1982-03-12,1983-08-09,,https://patents.google.com/patent/EP0074395A4/en,
JP-S58500361-A,Manufacturing method and device for hollow metal microspheres and micro oblong spheres ,トロビン，レオナ−ド・ビ−,トロビン・レオナ−ド・ビ−,1981-03-18,1982-03-12,1983-03-10,,https://patents.google.com/patent/JPS58500361A/en,
WO-8203197-A1,Method and apparatus for producing hollow metal microspheres and microspheroids ,Leonard B Torobin,Leonard B Torobin,1981-03-18,1982-03-12,1982-09-30,,https://patents.google.com/patent/WO1982003197A1/en,
IL-65241-A0,Method and apparatus for producing hollow metal microspheres and microspheroids ,Torobin Leonard B,,1981-03-18,1982-03-14,1982-05-31,,https://patents.google.com/patent/IL65241A0/en,
AU-550749-B2,Hollow metal microspheres ,Leonard B. Torobin,Leonard B. Torobin,1981-03-18,1982-03-15,1986-04-10,1986-04-10,https://patents.google.com/patent/AU550749B2/en,
AU-8151682-A,Hollow metal microspheres ,Leonard B. Torobin,Leonard B. Torobin,1981-03-18,1982-03-15,1982-09-23,,https://patents.google.com/patent/AU8151682A/en,
CA-1180859-A,Method and apparatus for producing hollow metal microspheres and microspheroids ,Leonard B. Torobin,Leonard B. Torobin,1981-03-18,1982-03-17,1985-01-15,1985-01-15,https://patents.google.com/patent/CA1180859A/en,
BE-892579-A,Nuclear energy generation by fusion constituents - in non-fusionable envelope using inertial containment by implosion of envelope ,Van Den Bogaert Joannes,,1982-03-22,1982-03-22,1982-07-16,,https://patents.google.com/patent/BE892579A/en,
US-4560528-A,Method and apparatus for producing average magnetic well in a reversed field pinch ,Ga Technologies Inc.,Tihiro Ohkawa,1982-04-12,1982-04-12,1985-12-24,1985-12-24,https://patents.google.com/patent/US4560528A/en,https://patentimages.storage.googleapis.com/ac/5b/d9/1039d2ca6f3094/US4560528-drawings-page-2.png
US-4444717-A,Apparatus for removing energy ,Philip A. Putman,Anne de Breze,1980-08-13,1982-04-26,1984-04-24,1984-04-24,https://patents.google.com/patent/US4444717A/en,https://patentimages.storage.googleapis.com/a7/14/cb/4a2abe2b1dd97e/US4444717-drawings-page-2.png
DK-193582-A,A TERMONUCLEAR FUEL OF PASSIVE GASES A ENGINE AND A FUEL PROCESSOR ,Papp Int Inc,J Papp,1980-09-04,1982-04-30,1982-04-30,,https://patents.google.com/patent/DK193582A/en,
